REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,2710,425.3515930175781,-794.2281494140625,3.507232904434204
LEFT,18118509207215334066,3248,15.772991180419922,-800.3424072265625,3.8377697467803955
LEFT,18118509207215334066,3249,14.595508575439453,-799.7177124023438,3.83648681640625
LEFT,18118509207215334066,3266,1.297103762626648,-791.8472900390625,3.8159940242767334
LEFT,18118509207215334066,3269,-.4109441637992859,-790.7327270507812,3.810157060623169
LEFT,18118509207215334066,4131,-236.0058135986328,207.68081665039062,3.4372475147247314
LEFT,18118509207215334066,4133,-237.24365234375,208.69326782226562,3.431056022644043
LEFT,18118509207215334066,4185,-261.1637878417969,227.3409881591797,3.321453809738159
LEFT,18118509207215334066,2014,734.056396484375,-409.82501220703125,3.3395028114318848
LEFT,18118509207215334066,2017,732.9558715820312,-410.8085632324219,3.3394386768341064
LEFT,18118509207215334066,2018,732.4471435546875,-411.22882080078125,3.3393428325653076
LEFT,18118509207215334066,2019,732.0586547851562,-411.5361022949219,3.3388288021087646
LEFT,18118509207215334066,2020,731.5344848632812,-411.9322204589844,3.3381783962249756
LEFT,18118509207215334066,2026,729.2412109375,-413.42498779296875,3.336012840270996
LEFT,18118509207215334066,2028,728.2757568359375,-413.9478454589844,3.335270881652832
LEFT,18118509207215334066,2030,727.4376220703125,-414.3560791015625,3.335563898086548
LEFT,18118509207215334066,2036,724.9736938476562,-415.3609619140625,3.3356785774230957
LEFT,18118509207215334066,2037,724.5193481445312,-415.52056884765625,3.3361480236053467
LEFT,18118509207215334066,2039,723.4313354492188,-415.8783264160156,3.336479425430298
LEFT,18118509207215334066,2686,449.57586669921875,-783.200439453125,3.6187002658843994
LEFT,18118509207215334066,2692,444.26190185546875,-785.7960205078125,3.592458486557007
LEFT,18118509207215334066,2694,442.0291748046875,-786.8499145507812,3.5776920318603516
LEFT,18118509207215334066,2696,439.77178955078125,-787.8977661132812,3.5721659660339355
LEFT,18118509207215334066,2697,438.7952575683594,-788.3469848632812,3.5720176696777344
LEFT,18118509207215334066,2699,436.83074951171875,-789.2415161132812,3.570429563522339
LEFT,18118509207215334066,2702,434.5154113769531,-790.2797241210938,3.559670925140381
LEFT,18118509207215334066,2703,433.5162658691406,-790.7230834960938,3.5533599853515625
LEFT,18118509207215334066,2705,431.1656799316406,-791.7540893554688,3.537139892578125
LEFT,18118509207215334066,2709,426.38531494140625,-793.7945556640625,3.5116865634918213
LEFT,18118509207215334066,4186,-261.80401611328125,227.71527099609375,3.318626642227173
LEFT,18118509207215334066,126,-480.74639892578125,863.3715209960938,2.747986078262329
LEFT,18118509207215334066,127,-479.224853515625,862.6495971679688,2.7406952381134033
LEFT,18118509207215334066,129,-476.22296142578125,861.1243896484375,2.7271177768707275
LEFT,18118509207215334066,133,-471.81756591796875,858.6309204101562,2.7123420238494873
LEFT,18118509207215334066,134,-469.8993225097656,857.4463500976562,2.70751690864563
LEFT,18118509207215334066,710,-34.11115264892578,611.76708984375,3.169825553894043
LEFT,18118509207215334066,712,-33.04983901977539,610.75341796875,3.1778011322021484
LEFT,18118509207215334066,135,-468.47625732421875,856.5272827148438,2.704559564590454
LEFT,18118509207215334066,139,-461.996826171875,851.8871459960938,2.700213670730591
LEFT,18118509207215334066,141,-458.8426818847656,849.3421630859375,2.7026407718658447
LEFT,18118509207215334066,148,-450.56939697265625,841.6953125,2.725275754928589
LEFT,18118509207215334066,153,-445.1174621582031,835.8592529296875,2.7462964057922363
LEFT,18118509207215334066,154,-443.4722595214844,833.9646606445312,2.749505043029785
LEFT,18118509207215334066,706,-38.69980239868164,616.1502685546875,3.1596693992614746
LEFT,18118509207215334066,899,155.77452087402344,428.919189453125,2.7538371086120605
LEFT,18118509207215334066,2354,604.7118530273438,-525.8092651367188,3.328340530395508
LEFT,18118509207215334066,2355,604.8065795898438,-527.3834838867188,3.348328113555908
LEFT,18118509207215334066,2367,605.6049194335938,-541.4573364257812,3.5302340984344482
LEFT,18118509207215334066,2368,605.6869506835938,-542.9945678710938,3.54697585105896
LEFT,18118509207215334066,2373,605.9743041992188,-548.3046875,3.5939834117889404
LEFT,18118509207215334066,2386,606.7705078125,-562.2186889648438,3.67315411567688
LEFT,18118509207215334066,2398,607.5294799804688,-574.7940673828125,3.7424771785736084
LEFT,18118509207215334066,2401,607.7247924804688,-578.2305908203125,3.7788023948669434
LEFT,18118509207215334066,2405,607.9201049804688,-581.7116088867188,3.786203622817993
LEFT,18118509207215334066,2937,224.13279724121094,-879.562255859375,3.3529553413391113
LEFT,18118509207215334066,2939,223.06996154785156,-878.9663696289062,3.3578109741210938
