REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
REF,9548584355158756459,298,-361.8544616699219,689.0070190429688,3.078216314315796
REF,9548584355158756459,299,-361.40899658203125,688.7007446289062,3.0732743740081787
REF,9548584355158756459,305,-358.9851379394531,687.2141723632812,3.042557716369629
REF,9548584355158756459,311,-355.94610595703125,685.6821899414062,2.998415946960449
REF,9548584355158756459,1795,647.924072265625,-234.98695373535156,2.9303061962127686
REF,9548584355158756459,1803,656.3194580078125,-246.4643096923828,2.8780558109283447
REF,9548584355158756459,1804,657.52880859375,-248.1423797607422,2.870392084121704
REF,9548584355158756459,1807,659.3302612304688,-250.65203857421875,2.85752010345459
REF,9548584355158756459,1808,660.5223999023438,-252.3179168701172,2.8485281467437744
REF,9548584355158756459,1811,663.1847534179688,-256.0492858886719,2.8295230865478516
REF,9548584355158756459,1812,664.3606567382812,-257.70068359375,2.8208000659942627
REF,9548584355158756459,1814,666.4105834960938,-260.5835876464844,2.804719924926758
REF,9548584355158756459,1816,667.2875366210938,-261.8189392089844,2.7985434532165527
REF,9548584355158756459,2412,603.5963134765625,-640.636474609375,3.806894063949585
REF,9548584355158756459,2417,602.4924926757812,-644.4317016601562,3.787489891052246
REF,9548584355158756459,328,-347.2841796875,682.8250732421875,2.8621015548706055
REF,9548584355158756459,340,-340.0765075683594,681.9701538085938,2.854599952697754
REF,9548584355158756459,341,-339.4544677734375,681.9619140625,2.854133129119873
REF,9548584355158756459,342,-338.8288269042969,681.9633178710938,2.8531312942504883
REF,9548584355158756459,869,-109.64493560791016,682.8207397460938,2.913428544998169
REF,9548584355158756459,872,-106.38014221191406,679.4872436523438,2.929203748703003
REF,9548584355158756459,874,-104.41686248779297,677.4703979492188,2.938063859939575
REF,9548584355158756459,876,-102.11956024169922,675.1087646484375,2.9521396160125732
REF,9548584355158756459,877,-101.13113403320312,674.0941162109375,2.9584338665008545
REF,9548584355158756459,878,-100.13787078857422,673.0775146484375,2.9650020599365234
REF,9548584355158756459,815,-160.41683959960938,732.677001953125,3.043522357940674
REF,9548584355158756459,817,-158.69300842285156,730.938232421875,3.0439743995666504
REF,9548584355158756459,882,-95.80567169189453,668.6731567382812,2.9885013103485107
REF,9548584355158756459,892,-85.95635986328125,658.7860107421875,3.042721748352051
REF,9548584355158756459,893,-84.58236694335938,657.4129028320312,3.047299861907959
REF,9548584355158756459,896,-82.16812896728516,655.004150390625,3.0534825325012207
REF,9548584355158756459,897,-81.13023376464844,653.968994140625,3.054784059524536
REF,9548584355158756459,1790,642.7512817382812,-228.0963897705078,2.964904546737671
REF,9548584355158756459,1794,646.9671020507812,-233.70130920410156,2.938006639480591
REF,9548584355158756459,1098,153.27407836914062,428.0430603027344,2.8284542560577393
REF,9548584355158756459,1656,489.7142639160156,-55.24182891845703,3.336696147918701
REF,9548584355158756459,1659,493.30206298828125,-58.746612548828125,3.3538854122161865
REF,9548584355158756459,4194,-528.3655395507812,332.54351806640625,3.5122976303100586
REF,9548584355158756459,4195,-529.5593872070312,333.6083679199219,3.509239912033081
REF,9548584355158756459,4198,-533.1646728515625,336.8262939453125,3.500061273574829
REF,9548584355158756459,4207,-543.6508178710938,346.23468017578125,3.4980642795562744
REF,9548584355158756459,4210,-548.0540771484375,350.23370361328125,3.514195442199707
REF,9548584355158756459,4229,-569.4434204101562,370.94293212890625,3.602651834487915
REF,9548584355158756459,4233,-573.068115234375,374.7197570800781,3.6112496852874756
REF,9548584355158756459,4234,-574.50439453125,376.2364196777344,3.6129634380340576
REF,9548584355158756459,4238,-579.1207885742188,381.2013854980469,3.620487689971924
REF,9548584355158756459,4245,-585.7572021484375,388.6130065917969,3.65108323097229
REF,9548584355158756459,1836,684.7424926757812,-286.9778137207031,2.7298502922058105
REF,9548584355158756459,1842,690.2113037109375,-295.2578430175781,2.7356979846954346
REF,9548584355158756459,4192,-525.5953369140625,330.0750732421875,3.5218846797943115
REF,9548584355158756459,3363,-102.49488830566406,-477.29327392578125,3.5291662216186523
REF,9548584355158756459,3365,-102.27124786376953,-475.44024658203125,3.5273842811584473
REF,9548584355158756459,3366,-102.09784698486328,-474.05010986328125,3.5261123180389404
REF,9548584355158756459,4309,-645.384521484375,479.2330322265625,4.224491596221924
REF,9548584355158756459,4310,-646.3995361328125,481.3728332519531,4.240450382232666
REF,9548584355158756459,4313,-647.9030151367188,484.60528564453125,4.262248516082764
REF,9548584355158756459,4317,-651.082275390625,491.6783752441406,4.303784370422363
REF,9548584355158756459,4319,-652.52490234375,494.99481201171875,4.314815521240234
REF,9548584355158756459,4322,-654.163818359375,498.8438720703125,4.323356628417969
REF,9548584355158756459,4323,-655.0921630859375,501.06622314453125,4.328559875488281
REF,9548584355158756459,4325,-656.4685668945312,504.41778564453125,4.3369951248168945
REF,9548584355158756459,4326,-657.1489868164062,506.09930419921875,4.340813159942627
REF,9548584355158756459,4328,-658.716796875,510.0426025390625,4.344577789306641
REF,9548584355158756459,4336,-663.6442260742188,523.1856079101562,4.324521541595459
REF,9548584355158756459,813,-161.28846740722656,733.5319213867188,3.0428388118743896
REF,9548584355158756459,1847,694.9976806640625,-302.6668395996094,2.745417833328247
REF,9548584355158756459,1855,701.439697265625,-312.9803466796875,2.76525616645813
REF,9548584355158756459,1857,702.97705078125,-315.51019287109375,2.774900197982788
REF,9548584355158756459,1861,706.4210205078125,-321.2768249511719,2.8260350227355957
REF,9548584355158756459,1863,708.0635986328125,-324.07855224609375,2.8551747798919678
REF,9548584355158756459,1868,710.9544677734375,-329.1036682128906,2.9077494144439697
REF,9548584355158756459,1870,712.412109375,-331.68792724609375,2.935238838195801
REF,9548584355158756459,3347,-104.55171966552734,-499.4396667480469,3.614473819732666
REF,9548584355158756459,3351,-104.09991455078125,-493.4609680175781,3.586705446243286
REF,9548584355158756459,3352,-103.9855728149414,-492.0801086425781,3.5810704231262207
REF,9548584355158756459,3355,-103.74456787109375,-489.3121643066406,3.56903076171875
REF,9548584355158756459,3357,-103.44155883789062,-486.0822448730469,3.554903030395508
REF,9548584355158756459,3358,-103.30420684814453,-484.6950378417969,3.549609422683716
REF,9548584355158756459,3360,-102.966796875,-481.4591979980469,3.5378661155700684
REF,9548584355158756459,3361,-102.8143081665039,-480.0707702636719,3.5338542461395264
REF,9548584355158756459,1066,116.21487426757812,463.2677001953125,3.0898354053497314
REF,9548584355158756459,1067,117.75222778320312,461.7945556640625,3.0757205486297607
REF,9548584355158756459,1073,124.32408142089844,455.5165710449219,3.0198168754577637
REF,9548584355158756459,1077,129.37301635742188,450.7073669433594,2.9895665645599365
REF,9548584355158756459,1083,135.60780334472656,444.7789611816406,2.959263801574707
REF,9548584355158756459,510,-305.24774169921875,710.7549438476562,2.929415225982666
REF,9548584355158756459,512,-305.14471435546875,710.8955688476562,2.9289066791534424
REF,9548584355158756459,515,-304.9609375,711.1455688476562,2.9282612800598145
REF,9548584355158756459,516,-304.91259765625,711.2119750976562,2.928220272064209
REF,9548584355158756459,520,-304.76953125,711.4050903320312,2.9282097816467285
REF,9548584355158756459,522,-304.662109375,711.5486450195312,2.9282777309417725
REF,9548584355158756459,531,-304.2783508300781,712.0593872070312,2.9273741245269775
REF,9548584355158756459,532,-304.2388000488281,712.1121215820312,2.927196979522705
REF,9548584355158756459,534,-304.1611633300781,712.2146606445312,2.926809549331665
REF,9548584355158756459,536,-304.0737609863281,712.3308715820312,2.9263863563537598
REF,9548584355158756459,537,-304.0371398925781,712.3777465820312,2.9262146949768066
REF,9548584355158756459,1088,141.8649444580078,438.8421325683594,2.9060449600219727
REF,9548584355158756459,1089,143.04208374023438,437.7268981933594,2.8944907188415527
REF,9548584355158756459,1093,146.9692840576172,434.0081481933594,2.86352276802063
REF,9548584355158756459,1095,149.7247314453125,431.4014587402344,2.84643816947937
REF,9548584355158756459,1097,152.09075927734375,429.1631774902344,2.834299087524414
REF,9548584355158756459,1668,502.7362060546875,-68.21817016601562,3.388500928878784
REF,9548584355158756459,1669,503.8362121582031,-69.33892822265625,3.3918440341949463
REF,9548584355158756459,1673,508.64007568359375,-74.2532730102539,3.407148838043213
REF,9548584355158756459,1678,512.3782958984375,-78.09029388427734,3.42132830619812
REF,9548584355158756459,1685,518.4371337890625,-84.32728576660156,3.4371259212493896
REF,9548584355158756459,1687,521.1139526367188,-87.09439849853516,3.4377169609069824
REF,9548584355158756459,1693,527.6712646484375,-93.9220199584961,3.4303834438323975
REF,9548584355158756459,1694,528.8375854492188,-95.14474487304688,3.4292562007904053
REF,9548584355158756459,1699,534.3055419921875,-100.9090805053711,3.425844430923462
REF,9548584355158756459,4032,-371.86676025390625,226.1622314453125,3.5450141429901123
REF,9548584355158756459,4034,-374.19317626953125,226.423095703125,3.5340182781219482
REF,9548584355158756459,4035,-375.5063171386719,226.60398864746094,3.52667236328125
REF,9548584355158756459,4039,-378.41851806640625,227.08517456054688,3.509209632873535
REF,9548584355158756459,4041,-380.33319091796875,227.45565795898438,3.4979467391967773
REF,9548584355158756459,4043,-382.5453796386719,227.9303436279297,3.4860196113586426
REF,9548584355158756459,4046,-385.6752014160156,228.67193603515625,3.4742913246154785
REF,9548584355158756459,4048,-387.5375671386719,229.14541625976562,3.4720120429992676
REF,9548584355158756459,4049,-388.77215576171875,229.47125244140625,3.472602605819702
REF,9548584355158756459,1830,679.8181762695312,-279.7056884765625,2.7375128269195557
REF,9548584355158756459,1831,680.6887817382812,-280.9775695800781,2.7352511882781982
REF,9548584355158756459,1832,681.8489379882812,-282.68182373046875,2.7327799797058105
REF,9548584355158756459,1833,682.7180786132812,-283.96612548828125,2.7313950061798096
REF,9548584355158756459,4051,-390.6209411621094,229.9757080078125,3.476850986480713
REF,9548584355158756459,4052,-391.5423278808594,230.23443603515625,3.4807770252227783
REF,9548584355158756459,2244,593.2152099609375,-477.4277038574219,3.1908698081970215
REF,9548584355158756459,1849,696.918701171875,-305.69622802734375,2.7513370513916016
REF,9548584355158756459,1851,698.8079833984375,-308.7121887207031,2.7570743560791016
REF,9548584355158756459,1853,700.404541015625,-311.2920227050781,2.761714220046997
REF,9548584355158756459,2583,461.727294921875,-767.2748413085938,3.7036736011505127
REF,9548584355158756459,2590,455.1029968261719,-770.4892578125,3.673863172531128
REF,9548584355158756459,2594,450.327392578125,-772.7665405273438,3.652893543243408
REF,9548584355158756459,2601,442.1573486328125,-776.593994140625,3.604231119155884
REF,9548584355158756459,2602,440.49298095703125,-777.362548828125,3.5972847938537598
REF,9548584355158756459,2603,439.23699951171875,-777.9398193359375,3.594740390777588
REF,9548584355158756459,2607,433.2995300292969,-780.6429443359375,3.5887742042541504
REF,9548584355158756459,3528,-29.364948272705078,-241.8245391845703,3.3138701915740967
REF,9548584355158756459,3531,-28.25897979736328,-237.2245330810547,3.3313779830932617
REF,9548584355158756459,3532,-27.93891143798828,-235.8378143310547,3.336874485015869
REF,9548584355158756459,3535,-26.91127586364746,-231.19398498535156,3.354759693145752
REF,9548584355158756459,3735,-74.69139862060547,55.96210861206055,3.5267322063446045
REF,9548584355158756459,3742,-80.43266296386719,65.04280853271484,3.504265785217285
REF,9548584355158756459,4329,-659.3799438476562,511.7418518066406,4.344605445861816
REF,9548584355158756459,4330,-660.0369262695312,513.4457397460938,4.3443498611450195
REF,9548584355158756459,4334,-662.183349609375,519.1558837890625,4.334610939025879
REF,9548584355158756459,4337,-664.2606811523438,524.9224243164062,4.321753978729248
REF,9548584355158756459,4338,-665.07421875,527.2431640625,4.3173651695251465
REF,9548584355158756459,4339,-665.6781005859375,528.9873046875,4.311878681182861
REF,9548584355158756459,4343,-667.6677856445312,534.8314208984375,4.287463188171387
REF,9548584355158756459,4344,-668.2605590820312,536.5958862304688,4.280572414398193
REF,9548584355158756459,5113,-367.1503601074219,693.7366943359375,3.1130709648132324
REF,9548584355158756459,5115,-366.2942199707031,692.9185180664062,3.1087677478790283
REF,9548584355158756459,5117,-365.5627136230469,692.243896484375,3.1045713424682617
REF,9548584355158756459,3743,-81.60136413574219,66.82388305664062,3.5022048950195312
REF,9548584355158756459,3744,-82.48297119140625,68.15398406982422,3.50069522857666
REF,9548584355158756459,3745,-83.36805725097656,69.47793579101562,3.498500347137451
REF,9548584355158756459,292,-364.504150390625,691.0706176757812,3.1017727851867676
REF,9548584355158756459,297,-362.4476013183594,689.432373046875,3.084355592727661
REF,9548584355158756459,301,-360.5129699707031,688.11767578125,3.0625059604644775
REF,9548584355158756459,825,-151.84451293945312,723.7584228515625,3.0417490005493164
REF,9548584355158756459,826,-150.9733428955078,722.85693359375,3.0323894023895264
REF,9548584355158756459,828,-148.9104766845703,720.76220703125,3.0111701488494873
REF,9548584355158756459,5118,-365.19622802734375,691.9142456054688,3.1021318435668945
REF,9548584355158756459,5126,-363.48370361328125,690.4391479492188,3.0901434421539307
REF,9548584355158756459,5143,-359.7610778808594,687.6158447265625,3.0542728900909424
REF,9548584355158756459,5147,-358.8720397949219,687.0249633789062,3.0439205169677734
REF,9548584355158756459,5153,-357.7157287597656,686.3072509765625,3.0295298099517822
REF,9548584355158756459,5157,-356.8058776855469,685.7844848632812,3.0173442363739014
REF,9548584355158756459,5161,-355.88592529296875,685.293212890625,3.004469394683838
REF,9548584355158756459,5167,-354.55706787109375,684.6475830078125,2.9846396446228027
REF,9548584355158756459,2405,605.2349243164062,-633.9662475585938,3.8431544303894043
REF,9548584355158756459,2406,605.0429077148438,-634.8363647460938,3.8384430408477783
REF,9548584355158756459,2409,604.3564453125,-637.733154296875,3.8228180408477783
REF,9548584355158756459,2411,603.8319702148438,-639.764404296875,3.8117973804473877
